3;subjects;1;2;1;4;4;1;12223.234;12223.687;12227.984;12232.765;12235.843;12242.906;12245.406;4;120;0;0;120;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;24;17;0.53;12.72;0;92;0;10;-;30;;
3;subjects;1;3;1;4;4;1;12223.234;12223.687;12226.109;12232.765;12234.953;12242.906;12247.093;4;120;0;0;120;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;24;17;0.53;12.72;0;92;0;9;-;30;;
3;subjects;1;4;1;4;4;1;12223.234;12223.687;12229.609;12232.765;12237.828;12242.906;12245.234;4;120;1;0;120;5;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;24;17;0.53;12.72;0;92;0;10;-;30;;
3;subjects;1;5;1;4;4;1;12223.234;12223.687;12226.734;12232.765;12236;12242.906;12245.546;4;120;1;0;120;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;24;17;0.53;12.72;0;92;0;10;-;30;;
3;subjects;1;6;1;4;4;1;12223.234;12223.687;12227.093;12232.765;12236.187;12242.906;12246.953;4;120;1;0;120;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;24;17;0.53;12.72;0;92;0;9;-;30;;
3;subjects;1;7;2;4;4;1;12223.234;12223.687;12230.015;12232.765;12234.734;12242.906;12248.5;4;120;1;0;120;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;17;0.53;0;24;17;12.72;7;-;30;;
3;subjects;1;8;2;4;4;1;12223.234;12223.687;12229.234;12232.765;12235.484;12242.906;12251.062;4;120;1;0;120;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;17;0.53;0;24;17;12.72;4;-;30;;
3;subjects;1;9;2;4;4;1;12223.234;12223.687;12228.296;12232.765;12236.703;12242.906;12246.203;4;120;1;0;120;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;17;0.53;0;24;17;12.72;9;-;30;;
3;subjects;1;10;2;4;4;1;12223.234;12223.687;12232.546;12232.765;12242.781;12242.906;12265.875;4;120;1;0;120;5;-3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;17;0.53;0;24;17;12.72;-11;-;24;;
3;subjects;1;11;2;4;4;1;12223.234;12223.687;12225.937;12232.765;12235.687;12242.921;12246.359;4;120;1;0;120;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;17;0.53;0;24;17;12.72;9;-;30;;
3;subjects;1;12;2;4;4;1;12223.234;12223.687;12226.453;12232.765;12235.328;12242.921;12246.703;4;120;1;0;120;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;17;0.53;0;24;17;12.72;9;-;30;;
