,time,X,Y,Z,marker,stad,Profit,TP,LP,Sum,TH
65,00:01.30,13.7265625,-103.6796875,-67.6813354492,Marker 0,梦,0,0,0,0,0.0
66,00:01.32,13.796875,-103.6796875,-67.6999816895,Marker 0,梦,0,0,0,0,0.0
67,00:01.34,13.8671875,-103.703125,-67.7049255371,Marker 0,梦,0,0,0,0,0.0
68,00:01.36,13.9453125,-103.734375,-67.6958618164,Marker 0,梦,0,0,0,0,0.0
69,00:01.38,13.9765625,-103.796875,-67.6871032715,Marker 0,梦,0,0,0,0,0.0
70,00:01.40,14.0,-103.84375,-67.6734924316,Marker 0,梦,0,0,0,0,0.0
71,00:01.42,14.0078125,-103.890625,-67.6690673828,Marker 0,梦,0,0,0,0,0.0
72,00:01.44,14.015625,-103.890625,-67.7010498047,Marker 0,梦,0,0,0,0,0.0
73,00:01.46,14.0,-103.890625,-67.7325134277,Marker 0,梦,0,0,0,0,0.0
74,00:01.48,13.9765625,-103.921875,-67.7234191895,Marker 0,梦,0,0,0,0,0.0
75,00:01.50,13.9453125,-103.9296875,-67.6920776367,Marker 0,梦,0,0,0,0,0.0
76,00:01.52,13.921875,-103.9375,-67.6285400391,Marker 0,梦,0,0,0,0,0.0
77,00:01.54,13.8828125,-103.9296875,-67.555267334,Marker 0,梦,0,0,0,0,0.0
78,00:01.56,13.8515625,-103.8671875,-67.5182800293,Marker 0,梦,0,0,0,0,0.0
79,00:01.58,13.8125,-103.7578125,-67.5313720703,Marker 0,梦,0,0,0,0,0.0
80,00:01.60,13.8046875,-103.6875,-67.5491027832,Marker 0,梦,0,0,0,0,0.0
81,00:01.62,13.796875,-103.625,-67.5806274414,Marker 0,梦,0,0,0,0,0.0
82,00:01.64,13.8125,-103.625,-67.6168823242,Marker 0,梦,0,0,0,0,0.0
83,00:01.66,13.84375,-103.6875,-67.64453125,Marker 0,梦,0,0,0,0,0.0
84,00:01.68,13.8671875,-103.8515625,-67.6445007324,Marker 0,梦,0,0,0,0,0.0
85,00:01.70,13.921875,-104.0234375,-67.6491088867,Marker 0,梦,0,0,0,0,0.0
86,00:01.72,13.9609375,-104.2265625,-67.6580810547,Marker 0,梦,0,0,0,0,0.0
87,00:01.74,14.0,-104.421875,-67.6672363281,Marker 0,梦,0,0,0,0,0.0
88,00:01.76,14.046875,-104.5703125,-67.6849365234,Marker 0,梦,0,0,0,0,0.0
89,00:01.78,14.0859375,-104.65625,-67.6981811523,Marker 0,梦,0,0,0,0,0.0
90,00:01.80,14.125,-104.6953125,-67.7116699219,Marker 0,梦,0,0,0,0,0.0
91,00:01.82,14.171875,-104.6640625,-67.7302246094,Marker 0,梦,0,0,0,0,0.0
92,00:01.84,14.203125,-104.6015625,-67.7395629883,Marker 0,梦,0,0,0,0,0.0
93,00:01.86,14.2265625,-104.5546875,-67.7129821777,Marker 0,梦,0,0,0,0,0.0
94,00:01.88,14.234375,-104.5,-67.6726379395,Marker 0,梦,0,0,0,0,0.0
95,00:01.90,14.2265625,-104.421875,-67.6555175781,Marker 0,梦,0,0,0,0,0.0
96,00:01.92,14.21875,-104.359375,-67.6424255371,Marker 0,梦,0,0,0,0,0.0
97,00:01.94,14.2109375,-104.296875,-67.6428527832,Marker 0,梦,0,0,0,0,0.0
98,00:01.96,14.203125,-104.3046875,-67.6108703613,Marker 0,梦,0,0,0,0,0.0
99,00:01.98,14.1875,-104.296875,-67.5973205566,Marker 0,梦,0,0,0,0,0.0
100,00:02.0,14.1796875,-104.2890625,-67.6011962891,Marker 0,梦,0,0,0,0,0.0
101,00:02.2,14.15625,-104.21875,-67.6555175781,Marker 0,梦,0,0,0,0,0.0
102,00:02.4,14.1484375,-104.1953125,-67.7005310059,Marker 0,梦,0,0,0,0,0.0
103,00:02.6,14.1484375,-104.15625,-67.7455444336,Marker 0,梦,0,0,0,0,0.0
104,00:02.8,14.140625,-104.1640625,-67.7544555664,Marker 0,梦,0,0,0,0,0.0
105,00:02.10,14.1171875,-104.2109375,-67.7136230469,Marker 0,梦,0,0,0,0,0.0
106,00:02.12,14.0859375,-104.25,-67.6680603027,Marker 0,梦,0,0,0,0,0.0
107,00:02.14,14.0625,-104.265625,-67.6679992676,Marker 0,梦,0,0,0,0,0.0
108,00:02.16,14.0625,-104.2265625,-67.7135925293,Marker 0,梦,0,0,0,0,0.0
109,00:02.18,14.0625,-104.234375,-67.7275085449,Marker 0,梦,0,0,0,0,0.0
110,00:02.20,14.046875,-104.2265625,-67.7182006836,Marker 0,梦,0,0,0,0,0.0
111,00:02.22,14.0546875,-104.1875,-67.6871948242,Marker 0,梦,0,0,0,0,0.0
112,00:02.24,14.0390625,-104.1796875,-67.6098327637,Marker 0,梦,0,0,0,0,0.0
113,00:02.26,14.0546875,-104.140625,-67.5330505371,Marker 0,梦,0,0,0,0,0.0
114,00:02.28,14.0390625,-104.0625,-67.5017089844,Marker 0,梦,0,0,0,0,0.0
115,00:02.30,14.03125,-103.984375,-67.5053100586,Marker 0,梦,0,0,0,0,0.0
116,00:02.32,14.0234375,-103.90625,-67.545715332,Marker 0,梦,0,0,0,0,0.0
117,00:02.34,14.015625,-103.8671875,-67.5906066895,Marker 0,梦,0,0,0,0,0.0
118,00:02.36,13.9921875,-103.9140625,-67.6311340332,Marker 0,梦,0,0,0,0,0.0
119,00:02.38,13.96875,-104.0,-67.6716308594,Marker 0,梦,0,0,0,0,0.0
120,00:02.40,13.9609375,-104.140625,-67.7035217285,Marker 0,梦,0,0,0,0,0.0
121,00:02.42,13.953125,-104.3046875,-67.7170715332,Marker 0,梦,0,0,0,0,0.0
122,00:02.44,13.9453125,-104.4453125,-67.726348877,Marker 0,梦,0,0,0,0,0.0
123,00:02.46,13.9453125,-104.5859375,-67.7130737305,Marker 0,梦,0,0,0,0,0.0
124,00:02.48,13.9375,-104.6640625,-67.7085266113,Marker 0,梦,0,0,0,0,0.0
125,00:02.50,13.9375,-104.6953125,-67.6992492676,Marker 0,梦,0,0,0,0,0.0
126,00:02.52,13.9296875,-104.6484375,-67.7173461914,Marker 0,梦,0,0,0,0,0.0
127,00:02.54,13.9296875,-104.5859375,-67.7166442871,Marker 0,梦,0,0,0,0,0.0
128,00:02.56,13.9140625,-104.5078125,-67.7069396973,Marker 0,梦,0,0,0,0,0.0
129,00:02.58,13.9140625,-104.4453125,-67.6748657227,Marker 0,梦,0,0,0,0,0.0
130,00:02.60,13.890625,-104.3828125,-67.6565551758,Marker 0,梦,0,0,0,0,0.0
131,00:02.62,13.8828125,-104.34375,-67.6251525879,Marker 0,梦,0,0,0,0,0.0
132,00:02.64,13.875,-104.2890625,-67.6251220703,Marker 0,梦,0,0,0,0,0.0
133,00:02.66,13.8828125,-104.2734375,-67.6207885742,Marker 0,梦,0,0,0,0,0.0
134,00:02.68,13.890625,-104.25,-67.6259765625,Marker 0,梦,0,0,0,0,0.0
135,00:02.70,13.8984375,-104.2421875,-67.6355285645,Marker 0,梦,0,0,0,0,0.0
136,00:02.72,13.90625,-104.234375,-67.6582336426,Marker 0,梦,0,0,0,0,0.0
137,00:02.74,13.9296875,-104.234375,-67.672088623,Marker 0,梦,0,0,0,0,0.0
138,00:02.76,13.96875,-104.2578125,-67.672668457,Marker 0,梦,0,0,0,0,0.0
139,00:02.78,14.0078125,-104.296875,-67.6817016602,Marker 0,梦,0,0,0,0,0.0
140,00:02.80,14.0234375,-104.3359375,-67.6815185547,Marker 0,梦,0,0,0,0,0.0
141,00:02.82,14.0390625,-104.4140625,-67.6586914062,Marker 0,梦,0,0,0,0,0.0
142,00:02.84,14.0390625,-104.4609375,-67.6492919922,Marker 0,梦,0,0,0,0,0.0
143,00:02.86,14.0546875,-104.4453125,-67.6949157715,Marker 0,梦,0,0,0,0,0.0
144,00:02.88,14.0546875,-104.40625,-67.7445983887,Marker 0,梦,0,0,0,0,0.0
145,00:02.90,14.0625,-104.375,-67.7675476074,Marker 0,梦,0,0,0,0,0.0
146,00:02.92,14.0625,-104.3515625,-67.726776123,Marker 0,梦,0,0,0,0,0.0
147,00:02.94,14.0546875,-104.3203125,-67.6410217285,Marker 0,梦,0,0,0,0,0.0
148,00:02.96,14.0625,-104.28125,-67.5235290527,Marker 0,梦,0,0,0,0,0.0
149,00:02.98,14.0625,-104.203125,-67.4508666992,Marker 0,梦,0,0,0,0,0.0
150,00:03.0,14.0625,-104.109375,-67.4324035645,Marker 0,梦,0,0,0,0,0.0
151,00:03.2,14.0625,-104.0,-67.4821777344,Marker 0,梦,0,0,0,0,0.0
152,00:03.4,14.0703125,-103.9375,-67.5454101562,Marker 0,梦,0,0,0,0,0.0
153,00:03.6,14.078125,-103.953125,-67.6043701172,Marker 0,梦,0,0,0,0,0.0
154,00:03.8,14.09375,-104.0234375,-67.6410827637,Marker 0,梦,0,0,0,0,0.0
155,00:03.10,14.1171875,-104.1953125,-67.646270752,Marker 0,梦,0,0,0,0,0.0
156,00:03.12,14.140625,-104.3671875,-67.6557312012,Marker 0,梦,0,0,0,0,0.0
157,00:03.14,14.1640625,-104.5234375,-67.6697998047,Marker 0,梦,0,0,0,0,0.0
158,00:03.16,14.171875,-104.640625,-67.6967163086,Marker 0,梦,0,0,0,0,0.0
159,00:03.18,14.1875,-104.7421875,-67.6875915527,Marker 0,梦,0,0,0,0,0.0
160,00:03.20,14.203125,-104.796875,-67.655670166,Marker 0,梦,0,0,0,0,0.0
161,00:03.22,14.2109375,-104.7890625,-67.6364440918,Marker 0,梦,0,0,0,0,0.0
162,00:03.24,14.21875,-104.6875,-67.6546020508,Marker 0,梦,0,0,0,0,0.0
163,00:03.26,14.203125,-104.5859375,-67.6674804688,Marker 0,梦,0,0,0,0,0.0
164,00:03.28,14.1640625,-104.46875,-67.676574707,Marker 0,梦,0,0,0,0,0.0
165,00:03.30,14.1328125,-104.421875,-67.6494445801,Marker 0,梦,0,0,0,0,0.0
166,00:03.32,14.09375,-104.3984375,-67.5995483398,Marker 0,梦,0,0,0,0,0.0
167,00:03.34,14.0546875,-104.3671875,-67.5723266602,Marker 0,梦,0,0,0,0,0.0
168,00:03.36,14.0234375,-104.359375,-67.5541992188,Marker 0,梦,0,0,0,0,0.0
169,00:03.38,13.984375,-104.3125,-67.5903625488,Marker 0,梦,0,0,0,0,0.0
170,00:03.40,13.953125,-104.3046875,-67.6129150391,Marker 0,梦,0,0,0,0,0.0
171,00:03.42,13.9453125,-104.3125,-67.6169128418,Marker 0,梦,0,0,0,0,0.0
172,00:03.44,13.9453125,-104.3359375,-67.6122741699,Marker 0,梦,0,0,0,0,0.0
173,00:03.46,13.96875,-104.359375,-67.6079711914,Marker 0,梦,0,0,0,0,0.0
