,time,X,Y,Z,marker,stad,Profit,TP,LP,Sum,TH
63,00:01.26,-3.796875,-116.2265625,-67.3893737793,Marker 0,梦,0,0,0,0,0.0
64,00:01.28,-3.734375,-116.2578125,-67.3882751465,Marker 0,梦,0,0,0,0,0.0
65,00:01.30,-3.6796875,-116.28125,-67.3932800293,Marker 0,梦,0,0,0,0,0.0
66,00:01.32,-3.625,-116.3046875,-67.4027099609,Marker 0,梦,0,0,0,0,0.0
67,00:01.34,-3.5859375,-116.3125,-67.4211425781,Marker 0,梦,0,0,0,0,0.0
68,00:01.36,-3.5390625,-116.3828125,-67.431427002,Marker 0,梦,0,0,0,0,0.0
69,00:01.38,-3.484375,-116.4453125,-67.4540100098,Marker 0,梦,0,0,0,0,0.0
70,00:01.40,-3.4453125,-116.484375,-67.491607666,Marker 0,梦,0,0,0,0,0.0
71,00:01.42,-3.4296875,-116.546875,-67.5286865234,Marker 0,梦,0,0,0,0,0.0
72,00:01.44,-3.4375,-116.671875,-67.5353088379,Marker 0,梦,0,0,0,0,0.0
73,00:01.46,-3.453125,-116.8046875,-67.5173950195,Marker 0,梦,0,0,0,0,0.0
74,00:01.48,-3.4765625,-116.90625,-67.5001831055,Marker 0,梦,0,0,0,0,0.0
75,00:01.50,-3.5234375,-117.0078125,-67.4553222656,Marker 0,梦,0,0,0,0,0.0
76,00:01.52,-3.609375,-117.1015625,-67.405090332,Marker 0,梦,0,0,0,0,0.0
77,00:01.54,-3.6953125,-117.1796875,-67.3836975098,Marker 0,梦,0,0,0,0,0.0
78,00:01.56,-3.7734375,-117.234375,-67.4085388184,Marker 0,梦,0,0,0,0,0.0
79,00:01.58,-3.8203125,-117.296875,-67.4569091797,Marker 0,梦,0,0,0,0,0.0
80,00:01.60,-3.84375,-117.3515625,-67.5358276367,Marker 0,梦,0,0,0,0,0.0
81,00:01.62,-3.8515625,-117.4609375,-67.5939331055,Marker 0,梦,0,0,0,0,0.0
82,00:01.64,-3.84375,-117.59375,-67.6315307617,Marker 0,梦,0,0,0,0,0.0
83,00:01.66,-3.84375,-117.78125,-67.638671875,Marker 0,梦,0,0,0,0,0.0
84,00:01.68,-3.8359375,-117.96875,-67.6311340332,Marker 0,梦,0,0,0,0,0.0
85,00:01.70,-3.7890625,-118.15625,-67.6232299805,Marker 0,梦,0,0,0,0,0.0
86,00:01.72,-3.734375,-118.3515625,-67.6005554199,Marker 0,梦,0,0,0,0,0.0
87,00:01.74,-3.6875,-118.5,-67.5923156738,Marker 0,梦,0,0,0,0,0.0
88,00:01.76,-3.6484375,-118.609375,-67.5973815918,Marker 0,梦,0,0,0,0,0.0
89,00:01.78,-3.6328125,-118.671875,-67.6118164062,Marker 0,梦,0,0,0,0,0.0
90,00:01.80,-3.6328125,-118.7109375,-67.6172485352,Marker 0,梦,0,0,0,0,0.0
