,time,X,Y,Z,marker,stad,Profit,TP,LP,Sum,TH
32038,10:40.76,-3.2578125,-20.6171875,-63.2191162109,Marker 41,Contrib per10 res,1,21,0,117,125.61
32039,10:40.78,-3.09375,-20.3359375,-63.1111450195,Marker 41,Contrib per10 res,1,21,0,117,125.61
32040,10:40.80,-2.9609375,-20.03125,-63.0707092285,Marker 41,Contrib per10 res,1,21,0,117,125.61
32041,10:40.82,-2.8828125,-19.703125,-63.119354248,Marker 41,Contrib per10 res,1,21,0,117,125.61
32042,10:40.84,-2.84375,-19.3515625,-63.2317810059,Marker 41,Contrib per10 res,1,21,0,117,125.61
32043,10:40.86,-2.8203125,-19.0,-63.382232666,Marker 41,Contrib per10 res,1,21,0,117,125.61
32044,10:40.88,-2.765625,-18.7265625,-63.5630493164,Marker 41,Contrib per10 res,1,21,0,117,125.61
32045,10:40.90,-2.734375,-18.515625,-63.7192077637,Marker 41,Contrib per10 res,1,21,0,117,125.61
32046,10:40.92,-2.7265625,-18.3125,-63.8546447754,Marker 41,Contrib per10 res,1,21,0,117,125.61
32047,10:40.94,-2.734375,-18.0859375,-63.9310302734,Marker 41,Contrib per10 res,1,21,0,117,125.61
32048,10:40.96,-2.71875,-17.8359375,-63.8929138184,Marker 41,Contrib per10 res,1,21,0,117,125.61
32049,10:40.98,-2.703125,-17.640625,-63.7532958984,Marker 41,Contrib per10 res,1,21,0,117,125.61
32050,10:41.0,-2.765625,-17.5078125,-63.6102600098,Marker 41,Contrib per10 res,1,21,0,117,125.61
32051,10:41.2,-2.90625,-17.4296875,-63.5698852539,Marker 41,Contrib per10 res,1,21,0,117,125.61
32052,10:41.4,-3.078125,-17.390625,-63.6061096191,Marker 41,Contrib per10 res,1,21,0,117,125.61
32053,10:41.6,-3.203125,-17.3828125,-63.6162414551,Marker 41,Contrib per10 res,1,21,0,117,125.61
32054,10:41.8,-3.1875,-17.2890625,-63.5865783691,Marker 41,Contrib per10 res,1,21,0,117,125.61
32055,10:41.10,-2.9609375,-17.0078125,-63.5725402832,Marker 41,Contrib per10 res,1,21,0,117,125.61
32056,10:41.12,-2.5,-16.5546875,-63.5825500488,Marker 41,Contrib per10 res,1,21,0,117,125.61
32057,10:41.14,-1.859375,-15.9296875,-63.6508178711,Marker 41,Contrib per10 res,1,21,0,117,125.61
32058,10:41.16,-1.125,-15.203125,-63.7782897949,Marker 41,Contrib per10 res,1,21,0,117,125.61
32059,10:41.18,-0.3125,-14.453125,-63.8757324219,Marker 41,Contrib per10 res,1,21,0,117,125.61
32060,10:41.20,0.5625,-13.8046875,-63.7897644043,Marker 41,Contrib per10 res,1,21,0,117,125.61
32061,10:41.22,1.4296875,-13.2890625,-63.5255737305,Marker 41,Contrib per10 res,1,21,0,117,125.61
32062,10:41.24,2.265625,-12.921875,-63.1847839355,Marker 41,Contrib per10 res,1,21,0,117,125.61
32063,10:41.26,3.1171875,-12.6796875,-62.9166564941,Marker 41,Contrib per10 res,1,21,0,117,125.61
32064,10:41.28,3.9609375,-12.5078125,-62.8414611816,Marker 41,Contrib per10 res,1,21,0,117,125.61
32065,10:41.30,4.65625,-12.28125,-62.8987731934,Marker 41,Contrib per10 res,1,21,0,117,125.61
32066,10:41.32,5.0625,-11.859375,-62.986541748,Marker 41,Contrib per10 res,1,21,0,117,125.61
32067,10:41.34,5.3203125,-11.34375,-63.0612487793,Marker 41,Contrib per10 res,1,21,0,117,125.61
32068,10:41.36,5.65625,-10.8671875,-63.0378723145,Marker 41,Contrib per10 res,1,21,0,117,125.61
32069,10:41.38,6.0703125,-10.453125,-62.8864135742,Marker 41,Contrib per10 res,1,21,0,117,125.61
32070,10:41.40,6.3984375,-10.0390625,-62.6752929688,Marker 41,Contrib per10 res,1,21,0,117,125.61
32071,10:41.42,6.5390625,-9.578125,-62.4204101562,Marker 41,Contrib per10 res,1,21,0,117,125.61
32072,10:41.44,6.5859375,-9.0703125,-62.2034301758,Marker 41,Contrib per10 res,1,21,0,117,125.61
