,time,X,Y,Z,marker,stad,Profit,TP,LP,Sum,TH
55,00:01.10,-12.1015625,-113.90625,-49.7120666504,Marker 0,梦,0,0,0,0,0.0
56,00:01.12,-12.1171875,-113.8125,-49.7017211914,Marker 0,梦,0,0,0,0,0.0
57,00:01.14,-12.109375,-113.703125,-49.7099609375,Marker 0,梦,0,0,0,0,0.0
58,00:01.16,-12.09375,-113.6328125,-49.7258300781,Marker 0,梦,0,0,0,0,0.0
59,00:01.18,-12.0625,-113.5703125,-49.7488708496,Marker 0,梦,0,0,0,0,0.0
60,00:01.20,-12.03125,-113.5625,-49.7604675293,Marker 0,梦,0,0,0,0,0.0
61,00:01.22,-12.0,-113.625,-49.7562255859,Marker 0,梦,0,0,0,0,0.0
62,00:01.24,-11.9765625,-113.6640625,-49.7600402832,Marker 0,梦,0,0,0,0,0.0
63,00:01.26,-11.9609375,-113.7421875,-49.7634277344,Marker 0,梦,0,0,0,0,0.0
64,00:01.28,-11.9453125,-113.78125,-49.7894287109,Marker 0,梦,0,0,0,0,0.0
65,00:01.30,-11.9375,-113.828125,-49.8112792969,Marker 0,梦,0,0,0,0,0.0
66,00:01.32,-11.9140625,-113.828125,-49.8456115723,Marker 0,梦,0,0,0,0,0.0
67,00:01.34,-11.8984375,-113.796875,-49.890625,Marker 0,梦,0,0,0,0,0.0
68,00:01.36,-11.8984375,-113.84375,-49.9010925293,Marker 0,梦,0,0,0,0,0.0
69,00:01.38,-11.921875,-113.9609375,-49.8629150391,Marker 0,梦,0,0,0,0,0.0
70,00:01.40,-11.9765625,-114.1015625,-49.7872924805,Marker 0,梦,0,0,0,0,0.0
71,00:01.42,-12.0390625,-114.25,-49.692779541,Marker 0,梦,0,0,0,0,0.0
72,00:01.44,-12.09375,-114.3125,-49.6396484375,Marker 0,梦,0,0,0,0,0.0
73,00:01.46,-12.1328125,-114.28125,-49.6469421387,Marker 0,梦,0,0,0,0,0.0
74,00:01.48,-12.1015625,-114.1953125,-49.6921386719,Marker 0,梦,0,0,0,0,0.0
75,00:01.50,-12.0390625,-114.078125,-49.7675476074,Marker 0,梦,0,0,0,0,0.0
76,00:01.52,-11.96875,-114.0234375,-49.8237915039,Marker 0,梦,0,0,0,0,0.0
77,00:01.54,-11.9375,-114.0859375,-49.8267211914,Marker 0,梦,0,0,0,0,0.0
78,00:01.56,-11.8828125,-114.1328125,-49.8185119629,Marker 0,梦,0,0,0,0,0.0
79,00:01.58,-11.828125,-114.203125,-49.78125,Marker 0,梦,0,0,0,0,0.0
80,00:01.60,-11.75,-114.1640625,-49.7825012207,Marker 0,梦,0,0,0,0,0.0
81,00:01.62,-11.6953125,-114.0703125,-49.7877502441,Marker 0,梦,0,0,0,0,0.0
82,00:01.64,-11.6484375,-114.0078125,-49.7855224609,Marker 0,梦,0,0,0,0,0.0
83,00:01.66,-11.609375,-113.90625,-49.7873535156,Marker 0,梦,0,0,0,0,0.0
84,00:01.68,-11.5703125,-113.875,-49.7622680664,Marker 0,梦,0,0,0,0,0.0
85,00:01.70,-11.5703125,-113.828125,-49.7445373535,Marker 0,梦,0,0,0,0,0.0
86,00:01.72,-11.5703125,-113.7734375,-49.7376098633,Marker 0,梦,0,0,0,0,0.0
87,00:01.74,-11.5703125,-113.71875,-49.7456665039,Marker 0,梦,0,0,0,0,0.0
88,00:01.76,-11.5703125,-113.6171875,-49.783416748,Marker 0,梦,0,0,0,0,0.0
89,00:01.78,-11.609375,-113.5234375,-49.8056640625,Marker 0,梦,0,0,0,0,0.0
90,00:01.80,-11.671875,-113.453125,-49.8208007812,Marker 0,梦,0,0,0,0,0.0
91,00:01.82,-11.734375,-113.359375,-49.8245544434,Marker 0,梦,0,0,0,0,0.0
92,00:01.84,-11.828125,-113.265625,-49.8171691895,Marker 0,梦,0,0,0,0,0.0
93,00:01.86,-11.9296875,-113.1953125,-49.7948608398,Marker 0,梦,0,0,0,0,0.0
94,00:01.88,-12.0,-113.109375,-49.7880859375,Marker 0,梦,0,0,0,0,0.0
95,00:01.90,-12.0625,-113.0625,-49.7694396973,Marker 0,梦,0,0,0,0,0.0
96,00:01.92,-12.1015625,-112.984375,-49.7812805176,Marker 0,梦,0,0,0,0,0.0
97,00:01.94,-12.140625,-112.953125,-49.7847595215,Marker 0,梦,0,0,0,0,0.0
98,00:01.96,-12.140625,-112.9296875,-49.7924194336,Marker 0,梦,0,0,0,0,0.0
99,00:01.98,-12.140625,-112.9296875,-49.7922973633,Marker 0,梦,0,0,0,0,0.0
100,00:02.0,-12.109375,-112.9453125,-49.7924194336,Marker 0,梦,0,0,0,0,0.0
101,00:02.2,-12.09375,-112.96875,-49.7920837402,Marker 0,梦,0,0,0,0,0.0
102,00:02.4,-12.0546875,-112.9609375,-49.8036499023,Marker 0,梦,0,0,0,0,0.0
